jarak_cm,kecepatan_ms
154,1.42
91,3.0
31,2.51
181,2.11
52,0.75
67,0.75
170,0.46
81,2.92
56,2.11
118,2.44
191,0.34
123,3.0
54,2.82
120,0.93
194,0.83
150,0.84
20,1.21
24,1.88
161,1.6
122,1.17
46,2.15
156,0.7
34,1.17
109,1.4
61,1.67
143,2.68
198,0.89
82,1.85
115,2.09
71,0.42
115,2.13
151,0.8
170,0.48
162,3.0
190,3.0
48,2.75
55,1.21
32,0.58
179,2.37
90,1.62
105,0.65
47,1.79
85,0.38
189,3.0
64,1.07
81,2.3
153,1.23
47,1.87
47,1.95
127,0.84
63,3.0
103,2.65
49,3.0
94,3.0
147,2.1
111,3.0
148,0.55
140,0.88
46,0.42
140,1.27
135,1.47
22,1.11
122,2.81
174,1.37
156,1.14
81,1.94
184,0.71
70,2.73
191,0.51
171,3.0
78,2.64
137,0.88
179,0.29
115,2.77
199,2.44
132,2.51
81,2.63
71,0.5
31,1.37
58,0.63
