jarak,kecepatan,persen_buka,kategori,bukaan_num
154,1.42,27%,Tertutup,27.0
91,3.0,50%,Setengah Terbuka,50.0
31,2.51,87%,Terbuka Penuh,87.0
181,2.11,27%,Tertutup,27.0
52,0.75,45%,Setengah Terbuka,45.0
67,0.75,22%,Tertutup,22.0
170,0.46,14%,Tertutup,14.0
81,2.92,50%,Setengah Terbuka,50.0
56,2.11,63%,Setengah Terbuka,63.0
118,2.44,50%,Setengah Terbuka,50.0
191,0.34,13%,Tertutup,13.0
123,3.0,50%,Setengah Terbuka,50.0
54,2.82,75%,Terbuka Penuh,75.0
120,0.93,41%,Setengah Terbuka,41.0
194,0.83,17%,Tertutup,17.0
150,0.84,27%,Tertutup,27.0
20,1.21,50%,Setengah Terbuka,50.0
24,1.88,50%,Setengah Terbuka,50.0
161,1.6,15%,Tertutup,15.0
122,1.17,50%,Setengah Terbuka,50.0
46,2.15,64%,Setengah Terbuka,64.0
156,0.7,16%,Tertutup,16.0
34,1.17,50%,Setengah Terbuka,50.0
109,1.4,50%,Setengah Terbuka,50.0
61,1.67,50%,Setengah Terbuka,50.0
143,2.68,50%,Setengah Terbuka,50.0
198,0.89,18%,Tertutup,18.0
82,1.85,50%,Setengah Terbuka,50.0
115,2.09,50%,Setengah Terbuka,50.0
71,0.42,14%,Tertutup,14.0
115,2.13,50%,Setengah Terbuka,50.0
151,0.8,17%,Tertutup,17.0
170,0.48,14%,Tertutup,14.0
162,3.0,50%,Setengah Terbuka,50.0
190,3.0,50%,Setengah Terbuka,50.0
48,2.75,85%,Terbuka Penuh,85.0
55,1.21,50%,Setengah Terbuka,50.0
32,0.58,50%,Setengah Terbuka,50.0
179,2.37,47%,Setengah Terbuka,47.0
90,1.62,50%,Setengah Terbuka,50.0
105,0.65,15%,Tertutup,15.0
47,1.79,50%,Setengah Terbuka,50.0
85,0.38,13%,Tertutup,13.0
189,3.0,50%,Setengah Terbuka,50.0
64,1.07,50%,Setengah Terbuka,50.0
81,2.3,50%,Setengah Terbuka,50.0
153,1.23,29%,Tertutup,29.0
47,1.87,50%,Setengah Terbuka,50.0
47,1.95,50%,Setengah Terbuka,50.0
127,0.84,27%,Tertutup,27.0
63,3.0,60%,Setengah Terbuka,60.0
103,2.65,50%,Setengah Terbuka,50.0
49,3.0,85%,Terbuka Penuh,85.0
94,3.0,50%,Setengah Terbuka,50.0
147,2.1,38%,Tertutup,38.0
111,3.0,50%,Setengah Terbuka,50.0
148,0.55,17%,Tertutup,17.0
140,0.88,34%,Tertutup,34.0
46,0.42,50%,Setengah Terbuka,50.0
140,1.27,50%,Setengah Terbuka,50.0
135,1.47,50%,Setengah Terbuka,50.0
22,1.11,50%,Setengah Terbuka,50.0
122,2.81,50%,Setengah Terbuka,50.0
174,1.37,14%,Tertutup,14.0
156,1.14,24%,Tertutup,24.0
81,1.94,50%,Setengah Terbuka,50.0
184,0.71,16%,Tertutup,16.0
70,2.73,50%,Setengah Terbuka,50.0
191,0.51,14%,Tertutup,14.0
171,3.0,50%,Setengah Terbuka,50.0
78,2.64,50%,Setengah Terbuka,50.0
137,0.88,34%,Tertutup,34.0
179,0.29,13%,Tertutup,13.0
115,2.77,50%,Setengah Terbuka,50.0
199,2.44,50%,Setengah Terbuka,50.0
132,2.51,50%,Setengah Terbuka,50.0
81,2.63,50%,Setengah Terbuka,50.0
71,0.5,14%,Tertutup,14.0
31,1.37,50%,Setengah Terbuka,50.0
58,0.63,35%,Tertutup,35.0
